Date,Hkin Caps
1/17/19,508.1831161
1/18/19,510.9099111
1/19/19,765.037002
1/20/19,769.3445411
1/21/19,519.5854871
1/22/19,330.8774532
1/23/19,525.7624434
1/24/19,528.9628124
1/25/19,792.6089081
1/26/19,797.5855191
1/27/19,341.2285226
1/28/19,542.4603697
1/29/19,545.9977042
1/30/19,818.4626075
1/31/19,823.9075322
2/1/19,829.4357561
2/2/19,835.0437289
2/3/19,357.4108805
2/4/19,359.8581682
2/5/19,362.3347509
2/6/19,364.839071
2/7/19,864.1534034
2/8/19,870.1636751
2/9/19,876.2281017
2/10/19,882.3429651
2/11/19,377.7217381
2/12/19,894.7091126
2/13/19,309.0225109
2/14/19,311.1763149
2/15/19,913.543612
2/16/19,617.6992375
2/17/19,621.972596
2/18/19,396.4811216
2/19/19,399.2027414
2/20/19,401.9301537
2/21/19,639.1817741
2/22/19,328.6947478
2/23/19,964.742465
2/24/19,412.8676411
2/25/19,977.6082968
2/26/19,984.0321187
2/27/19,421.0589345
2/28/19,423.779529
3/1/19,673.6649494
3/2/19,346.28456
3/3/19,682.1942452
3/4/19,686.4335243
3/5/19,1028.526757
3/6/19,694.8514336
3/7/19,442.5489844
3/8/19,#N/A
3/9/19,#N/A
3/10/19,#N/A
3/11/19,#N/A
3/12/19,#N/A
3/13/19,369.5494327
3/14/19,1083.319463
3/15/19,#N/A
3/16/19,1094.954839
3/17/19,1100.685381
3/18/19,379.4744909
3/19/19,1111.962454
3/20/19,1117.505353
3/21/19,754.0798444
3/22/19,387.0328113
3/23/19,388.8644279
3/24/19,764.8364066
3/25/19,1144.198526
3/26/19,1149.32288
3/27/19,775.1585908
3/28/19,1159.347392
3/29/19,399.3305649
3/30/19,496.9942902
3/31/19,788.2096003
4/1/19,1178.471967
4/2/19,794.4190508
4/3/19,797.4431074
4/4/19,1191.981793
4/5/19,803.3281093
4/6/19,806.1884971
4/7/19,#N/A
4/8/19,1208.856206
4/9/19,#N/A
4/10/19,517.2870454
4/11/19,418.6765434
4/12/19,1224.41438
4/13/19,824.6647775
4/14/19,523.6209381
4/15/19,829.4463314
4/16/19,526.5785399
4/17/19,834.0085186
4/18/19,1245.288066
4/19/19,1248.482916
4/20/19,532.0801902
4/21/19,842.4830384
4/22/19,1257.589376
4/23/19,846.400834
4/24/19,848.2813015
4/25/19,850.1101032
4/26/19,851.8877369
4/27/19,853.614724
4/28/19,855.2916087
4/29/19,856.9189559
4/30/19,543.5091141
5/1/19,544.4777761
5/2/19,861.5097134
5/3/19,1285.105052
5/4/19,864.3337222
5/5/19,865.676729
5/6/19,442.8431589
5/7/19,443.4834319
5/8/19,869.4379019
5/9/19,870.6046636
5/10/19,871.729124
5/11/19,872.8120002
5/12/19,873.8540143
5/13/19,446.8688365
5/14/19,1304.276261
5/15/19,555.0597749
5/16/19,877.6279772
5/17/19,878.4765836
5/18/19,879.288688
5/19/19,880.0650112
5/20/19,#N/A
5/21/19,881.5131733
5/22/19,882.186426
5/23/19,882.8267234
5/24/19,883.4347523
5/25/19,559.6617603
5/26/19,560.00712
5/27/19,885.0719403
5/28/19,885.5575488
5/29/19,886.0141538
5/30/19,561.2009233
5/31/19,561.4544263
6/1/19,561.6907002
6/2/19,887.5625465
6/3/19,887.8829942
6/4/19,888.1778613
6/5/19,1323.083916
6/6/19,888.6928572
